"Vendor","Product","Version"
"Adobe","Acrobat","10.x"
"Adobe","Acrobat","10.x for Macintosh"
"Adobe","Acrobat","5.0 - 5.0.5"
"Adobe","Acrobat","5.1"
"Adobe","Acrobat","5.x"
"Adobe","Acrobat","6.0"
"Adobe","Acrobat","7.0 Macintosh"
"Adobe","Acrobat","7.0 Windows"
"Adobe","Acrobat","8.x <= 8.2.6"
"Adobe","Acrobat","8.x <= 8.2.6 for Macintosh"
"Adobe","Acrobat Reader","5.0.9"
"Adobe","Acrobat Reader","5.1"
"Adobe","Acrobat Reader","5.x"
"Adobe","Acrobat Reader","<8.1.2"
"Adobe","Acrobat Reader","<=5.09"
"Adobe","Acrobat Reader","All"
"Adobe","Acrobat X","10.1"
"Microsoft","Access","2000"
"Microsoft","Access","2000 Runtime SP3"
"Microsoft","Access","2000 SP3"
"Microsoft","Office","2001 SR1 for Ma"
"Microsoft","Outlook Express","5.0 for MacOS"
"Microsoft","Outlook Express","5.0.2 for MacOS"
"Microsoft","Outlook Express","5.01"
"Microsoft","Windows NT","3.5"
"Microsoft","Windows NT","3.5.1SP1"
"Microsoft","Windows NT","3.5.1SP4"
"Microsoft","Windows NT","3.5.1SP5"
"Microsoft","Windows XP","."
"Microsoft","Windows XP","Any"
"Microsoft","Windows XP","SP3"
"Microsoft","Windows XP","Tablet PC Ed."
"Microsoft","Windows XP","Undefined"
